# MLP λ=0.04 (4.08M steps): 8 Patterns, rates 0.03-0.45 step 0.03
# Columns: traffic, rate, latency_cyc, flits

uniform_random,0.03,8.7,8843
uniform_random,0.06,8.8,17694
uniform_random,0.09,9.0,26805
uniform_random,0.12,9.3,35770
uniform_random,0.15,9.7,44470
uniform_random,0.18,10.2,53633
uniform_random,0.21,10.9,62835
uniform_random,0.24,12.0,71644
uniform_random,0.27,13.8,80495
uniform_random,0.30,16.7,85208
uniform_random,0.33,47.0,89491
uniform_random,0.36,75.8,83934
uniform_random,0.39,101.4,86233
uniform_random,0.42,118.1,83084
uniform_random,0.45,170.6,87692
tornado,0.03,7.1,8784
tornado,0.06,7.3,17657
tornado,0.09,7.5,26561
tornado,0.12,7.8,35764
tornado,0.15,8.3,44320
tornado,0.18,9.3,53293
tornado,0.21,12.2,62095
tornado,0.24,14.7,56966
tornado,0.27,17.4,59979
tornado,0.30,24.9,49615
tornado,0.33,19.1,50481
tornado,0.36,20.6,52254
tornado,0.39,18.2,52482
tornado,0.42,20.4,50019
tornado,0.45,45.3,59189
bit_complement,0.03,11.6,8765
bit_complement,0.06,11.9,17610
bit_complement,0.09,12.4,26477
bit_complement,0.12,13.2,35660
bit_complement,0.15,15.1,44169
bit_complement,0.18,21.9,52830
bit_complement,0.21,62.0,51217
bit_complement,0.24,157.2,46154
bit_complement,0.27,196.4,35545
bit_complement,0.30,172.2,32499
bit_complement,0.33,174.2,35369
bit_complement,0.36,195.4,33616
bit_complement,0.39,199.7,31852
bit_complement,0.42,310.3,36326
bit_complement,0.45,282.0,31683
bit_reverse,0.03,8.8,8780
bit_reverse,0.06,9.1,17643
bit_reverse,0.09,9.8,26519
bit_reverse,0.12,16.2,35538
bit_reverse,0.15,55.6,40682
bit_reverse,0.18,90.4,42445
bit_reverse,0.21,94.3,44067
bit_reverse,0.24,95.5,45741
bit_reverse,0.27,111.2,47032
bit_reverse,0.30,121.6,48801
bit_reverse,0.33,132.4,50534
bit_reverse,0.36,141.3,52263
bit_reverse,0.39,151.7,53257
bit_reverse,0.42,166.8,54749
bit_reverse,0.45,179.8,55293
bit_rotation,0.03,7.4,8782
bit_rotation,0.06,7.6,17661
bit_rotation,0.09,7.8,26556
bit_rotation,0.12,8.3,35768
bit_rotation,0.15,9.1,44314
bit_rotation,0.18,12.8,53106
bit_rotation,0.21,48.9,58830
bit_rotation,0.24,68.9,61866
bit_rotation,0.27,72.1,65366
bit_rotation,0.30,68.5,68862
bit_rotation,0.33,67.1,70330
bit_rotation,0.36,68.9,71785
bit_rotation,0.39,84.8,73341
bit_rotation,0.42,103.3,76733
bit_rotation,0.45,99.4,78383
shuffle,0.03,7.4,8783
shuffle,0.06,7.5,17659
shuffle,0.09,7.9,26555
shuffle,0.12,8.2,35752
shuffle,0.15,9.1,44316
shuffle,0.18,12.4,52752
shuffle,0.21,12.7,53568
shuffle,0.24,13.3,49983
shuffle,0.27,16.4,55827
shuffle,0.30,52.6,55783
shuffle,0.33,80.4,55482
shuffle,0.36,49.9,61875
shuffle,0.39,110.0,58249
shuffle,0.42,107.3,61302
shuffle,0.45,161.2,62069
transpose,0.03,8.8,8779
transpose,0.06,9.0,17636
transpose,0.09,9.5,26521
transpose,0.12,14.3,35617
transpose,0.15,35.2,41850
transpose,0.18,44.5,47285
transpose,0.21,54.3,51039
transpose,0.24,67.9,54151
transpose,0.27,81.3,56998
transpose,0.30,98.6,59264
transpose,0.33,108.2,61531
transpose,0.36,111.3,63274
transpose,0.39,108.3,65311
transpose,0.42,108.0,66470
transpose,0.45,124.7,68593
neighbor,0.03,5.1,8786
neighbor,0.06,5.0,17673
neighbor,0.09,5.0,26609
neighbor,0.12,5.1,35832
neighbor,0.15,5.2,44380
neighbor,0.18,5.1,53389
neighbor,0.21,5.2,62419
neighbor,0.24,5.2,71467
neighbor,0.27,5.2,80509
neighbor,0.30,5.3,89258
neighbor,0.33,5.3,97548
neighbor,0.36,5.4,106326
neighbor,0.39,5.4,115222
neighbor,0.42,5.5,123684
neighbor,0.45,5.5,132874